(.venv) PS C:\Users\Ors\preference_destillation> & C:\Users\Ors\preference_destillation\.venv\Scripts\python.exe c:/Users/Ors/preference_destillation/transformer/main.py
Initializing Transformer model...
Pre-computed 93 unique tokens for vocabulary map.
=== Model Parameter Overview ===
Total trainable parameters: 470,149,213
Embeddings (input + positional): 268,512,256 (268,435,456 + 76,800)
Transformer Attention parameters: 67,174,400
Transformer Feed-Forward parameters: 134,299,648
Transformer Block LayerNorms: 65,536
Final LayerNorm parameters: 2,048
Output projection parameters: 95,325

Sum of all above: 470,149,213
Difference (if any): 0

Hyperparameters: Hidden dimension=1024, Heads=16, Layers=16, Max sequence length=75
Input vocab size=262144, Output vocab size=93
Model initialized -> took 4.28 seconds.

Loading telemetry...
Loaded telemetry -> took 0.01 seconds.

== Telemetry ==
Current epoch: 21
Current batch: 257
Total batches processed: 3,029
Total runtime (seconds): 349,767.84
Session count: 108
Training log file: telemetry\training.jsonl
Waiting 2 seconds before continuing...

Initializing Trainer...
Trainer initialized on cuda -> took 0.42 seconds (T_max=11232)

Resuming from epoch 22, batch 257

Checkpoint loaded: checkpoints/temp_checkpoint.pt (epoch 21) -> took 3.59s

Loaded temp checkpoint


Epoch 22/24

Training Epoch 21 with starting learning rate: 0.000032

Loading batch 258...
Loaded batch 258 -> took 0.03 seconds.
        Example 1/32: 39 steps, loss=0.0546, kl=0.0582, ce=0.0531, acc=0.9744 -> took 1.64s
        Example 2/32: 39 steps, loss=0.0463, kl=0.0361, ce=0.0507, acc=0.9744 -> took 1.19s
        Example 3/32: 38 steps, loss=0.0480, kl=0.0523, ce=0.0462, acc=0.9737 -> took 1.24s
        Example 4/32: 38 steps, loss=0.1852, kl=0.1660, ce=0.1934, acc=0.8684 -> took 1.21s
        Example 5/32: 39 steps, loss=0.0531, kl=0.0497, ce=0.0546, acc=0.9487 -> took 1.24s
        Example 6/32: 39 steps, loss=0.0708, kl=0.0786, ce=0.0674, acc=0.9744 -> took 1.24s
        Example 7/32: 39 steps, loss=0.0729, kl=0.0703, ce=0.0740, acc=1.0000 -> took 1.24s
        Example 8/32: 39 steps, loss=0.1191, kl=0.1030, ce=0.1259, acc=0.9487 -> took 1.26s
        Example 9/32: 39 steps, loss=0.1028, kl=0.0892, ce=0.1087, acc=0.9487 -> took 1.25s
        Example 10/32: 38 steps, loss=0.0444, kl=0.0508, ce=0.0416, acc=0.9737 -> took 1.23s
        Example 11/32: 39 steps, loss=0.0602, kl=0.0553, ce=0.0623, acc=1.0000 -> took 1.26s
        Example 12/32: 39 steps, loss=0.0810, kl=0.0657, ce=0.0876, acc=0.9487 -> took 1.24s
        Example 13/32: 39 steps, loss=0.0718, kl=0.0676, ce=0.0737, acc=0.9744 -> took 1.24s
        Example 14/32: 39 steps, loss=0.0287, kl=0.0336, ce=0.0267, acc=1.0000 -> took 1.25s
