strategy,run,metric,batch,value
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,1,4.532896
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,2,2.91608
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,3,2.708682
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,4,2.46465
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,5,2.12409
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,6,1.762054
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,7,1.447085
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,8,1.110093
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,9,0.863505
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,10,0.677696
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,11,0.499283
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,12,0.38362
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,13,0.307698
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,14,0.261349
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,15,0.212725
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,16,0.160538
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,17,0.187186
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,18,0.159175
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,19,0.192306
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,20,0.180866
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,21,0.176415
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,22,0.125564
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,23,0.106248
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,24,0.101708
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,25,0.154958
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,26,0.148482
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,27,0.111834
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,28,0.113453
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,29,0.105527
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,30,0.109161
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,31,0.093033
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,32,0.094188
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,33,0.114435
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,34,0.119573
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,35,0.0995
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,36,0.100426
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,37,0.106775
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,38,0.091231
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,39,0.087471
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,40,0.102658
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,41,0.088142
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,42,0.105921
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,43,0.109353
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,44,0.117612
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,45,0.130454
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,46,0.083672
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,47,0.114538
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,48,0.107049
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,49,0.116
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,50,0.095566
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,51,0.083246
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,52,0.084138
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,53,0.092992
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,54,0.08487
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,55,0.098536
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,56,0.089876
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,57,0.091357
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,58,0.082554
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,59,0.067308
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,60,0.091343
